How do we define a variable of a value?,"You can use let instead of const, however it is not available until Source 3."
How should I name my functions?,"In the spirit of communicating computational processes, good names are very important. ""turn_upside_down"" immediately explains what a function is doing, whereas ""t_u_d"" does not explain anything and more likely serves to confuse."
how to determine the space taken for iteration and recursion process?,"Every function and operation (x*y) occupies space. In the case of factorial function, the iterative function has only one number z (as it has been calculated instead of  more number in recursive (a*b*c). "
"Is there any difference between an ""iterative"" function and a ""tail-recursive"" function?","Yes, they mean the same thing in Source. We make a distinction between recursion and iteration (tail recursion) as you will find that both methods are often viable for solving a problem, but result in completely different solutions and ways of thinking."
Where can I find learning materials for source academy?,https://sourceacademy.nus.edu.sg/material
What is the number of steps for Iterative function of fibonacci,"O(n). In the reflection we would say k * n, but fundamentally it's O(n)."
Where can I find the specifications for Source?,"The specification of Source in
https://sicp.comp.nus.edu.sg/source/

and the lectures are your definitive resource on this.

The implementation of Source may currently be a bit more generous, and may actually give ""correct"" results, meaning, results that are consistent with the JavaScript specifications. But please do not rely on this. Treat it as an ""undocumented feature"". Next time when we work on the Source implementation, we may decide to close this gap, and your program may stop working as expected."
What is the difference between let array and const array,"Think of the array I am pointing to as the address of the house and the contents inside the array be the people living in the house.

When I write const a = [1,2,3],
the const a is the address of my house and what is inside the brackets is the people living in it. when I change the contents of my array, lets say a[0] = 4, I am changing the people who live in my house but I am still talking about the same house.

If I did a = [6,5,3]

Then I am trying to get my a to refer to a completely different house which will throw an error."
"
What is the reason for not allowing standalone if's statements?","Many of you who have had prior programming experience will be more familiar with a construct called ""conditional statements"", which starts with ""if"". We will introduce conditional statements in L3 (Week 3).

In Lecture L2, we will introduce a mental model that allows us to understand in detail what happens when we evaluate programs in our language. We shall call it the substitution model. It works particularly well when we restrict ourselves (for now) to programs whose function body start with ""return"". So at the moment, writing functions is easy, you can always write:

function my_function_name(x, y, z) {
    return ....;
}

Those of you who have programming background: Think of it as a challenge! Can you write all your functions this way?"
Will I be penalised if I store functions in const?,"
Remember the purpose of programming: Communicating computational processes.

If you are writing a large program in which you use quarter_turn_right a lot, it might become hard to read and unnecessarily verbose. No one prevents you from introducing shorter names for predeclared functions. Having said that: Often, names with full English words make programs quite readable. So sometimes, you have the tradeoff between brevity and readability.
 

These questions are important and lie a the heart of the module. Let's discuss them, as you did by raising this point.


We will not penalize you for trying to communicate well. We shall discuss our communication attempts openly and in a friendly manner."
"How is ""rune trials"" graded?",You will be graded on both the correctness of output and good programming practices.
